"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500011725;0;1;0;0;0;3;1;2005;2;4;1945;"Vendredi";5;2;1;"Boulevard Carnot";"212300.0";4787100;450
200500011726;0;5;0;0;0;7;1;2005;2;10;1700;"Jeudi";1;1;1;"";"217900.0";4785200;450
200500011727;0;7;0;0;0;8;1;2005;2;17;2215;"Jeudi";5;1;1;"";"213400.0";4787400;450
200500011728;0;7;0;0;2;1;1;2005;2;19;1700;"Samedi";1;2;2;"PLACE DE L'EGLISE";"202200.0";4776900;450
200500011728;0;7;0;0;2;3;15;2005;2;19;1700;"Samedi";1;2;2;"PLACE DE L'EGLISE";"202200.0";4776900;450
200500011729;0;7;0;0;1;3;1;2005;2;24;1930;"Jeudi";5;2;1;"Rue de la Solaie";"0.0";0;450
200500011730;0;7;0;2;0;1;1;2005;2;7;1530;"Lundi";1;1;1;"";"0.0";0;450
200500011731;0;7;0;0;2;2;19;2005;2;12;1530;"Samedi";1;1;8;"";"0.0";0;450
200500011731;0;7;0;0;2;1;1;2005;2;12;1530;"Samedi";1;1;8;"";"0.0";0;450
200500011732;0;7;0;8;0;1;1;2005;2;2;915;"Mercredi";1;2;2;"32 rue de Bonnée";"0.0";0;450
200500011733;0;7;0;2;0;1;1;2005;2;5;2030;"Samedi";3;1;1;"";"0.0";0;450
200500011734;0;7;0;0;0;8;10;2005;2;19;1200;"Samedi";1;1;1;"";"0.0";0;450
200500011734;0;7;0;0;2;1;17;2005;2;19;1200;"Samedi";1;1;1;"";"0.0";0;450
200500011735;0;7;0;0;2;2;17;2005;2;18;2015;"Vendredi";3;1;1;"";"286000.0";4802000;450
200500011735;0;10;0;0;2;1;1;2005;2;18;2015;"Vendredi";3;1;1;"";"286000.0";4802000;450
200500011735;0;7;0;0;2;1;1;2005;2;18;2015;"Vendredi";3;1;1;"";"286000.0";4802000;450
200500011735;0;15;0;0;2;3;1;2005;2;18;2015;"Vendredi";3;1;1;"";"286000.0";4802000;450
