"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500062188";"0";"0";"1";"0";"0";"0"
"200500062189";"0";"0";"1";"0";"0";"0"
"200500062190";"0";"0";"2";"0";"0";"0"
"200500062191";"1";"0";"1";"0";"0";"0"
"200500062192";"1";"0";"0";"0";"0";"0"
"200500062193";"0";"0";"2";"0";"0";"0"
"200500062194";"0";"0";"2";"0";"0";"0"
"200500062195";"0";"1";"1";"0";"0";"0"
"200500062196";"0";"0";"1";"0";"0";"0"
"200500062197";"0";"0";"1";"0";"0";"0"
"200500062198";"0";"0";"1";"0";"0";"0"
"200500064304";"0";"0";"1";"0";"0";"0"
"200500064305";"0";"0";"0";"1";"0";"1"
"200500064306";"0";"0";"2";"1";"0";"0"
"200500064307";"1";"0";"1";"0";"0";"0"
"200500064308";"0";"0";"1";"0";"0";"0"
"200500064309";"0";"0";"1";"0";"0";"0"
"200500064310";"0";"0";"2";"0";"0";"0"
"200500064311";"0";"0";"1";"0";"0";"0"
"200500064312";"0";"1";"0";"0";"0";"0"
"200500064313";"0";"0";"0";"0";"0";"0"
"200500064314";"0";"0";"0";"0";"0";"0"
"200500064315";"0";"0";"1";"0";"0";"0"
"200500064316";"0";"1";"0";"0";"0";"0"
"200500064317";"0";"0";"3";"0";"0";"0"
"200500064318";"0";"0";"1";"0";"0";"0"
"200500064319";"0";"0";"2";"0";"0";"0"
"200500064320";"0";"1";"1";"0";"0";"0"
"200500064321";"0";"0";"1";"0";"0";"0"
"200500064322";"0";"0";"1";"0";"0";"0"
"200500064323";"0";"0";"1";"0";"0";"0"
"200500064324";"0";"0";"1";"0";"0";"1"
"200500064325";"0";"1";"1";"0";"0";"0"
"200500064326";"0";"0";"1";"0";"0";"0"
"200500064327";"0";"0";"0";"1";"0";"0"
"200500064328";"0";"0";"0";"0";"0";"0"
"200500064329";"0";"1";"1";"0";"0";"0"
"200500064330";"0";"1";"1";"0";"0";"0"
"200500064331";"0";"0";"0";"0";"0";"1"
"200500064332";"0";"1";"1";"0";"0";"0"
"200500064333";"0";"0";"0";"0";"0";"1"
"200500064334";"0";"0";"0";"3";"0";"0"
"200500064335";"0";"0";"1";"0";"0";"0"
"200500064336";"0";"0";"2";"0";"0";"0"
"200500064514";"0";"0";"1";"0";"0";"0"
"200500066587";"1";"0";"1";"0";"0";"0"
"200500066588";"0";"0";"1";"0";"0";"0"
"200500066589";"0";"1";"1";"0";"0";"0"
"200500066590";"0";"0";"1";"0";"0";"0"
"200500066591";"0";"0";"2";"0";"0";"0"
"200500066592";"0";"0";"1";"0";"0";"0"
"200500066593";"0";"1";"0";"0";"0";"0"
"200500066594";"0";"0";"3";"0";"0";"0"
"200500066595";"0";"0";"1";"0";"0";"0"
"200500066596";"0";"1";"1";"0";"0";"0"
"200500066597";"0";"0";"2";"0";"0";"0"
"200500066598";"0";"0";"1";"0";"0";"0"
"200500066599";"1";"0";"0";"0";"0";"0"
